Strike,Maturity,Price,Delta,Vega,Delta Strike,Gamma Strike,Theta,ChangedStrike,DividendFactor,Strike,Maturity,ImpliedVol,VegaRef,OptionType,logMoneyness,impliedTotalVariance,locvol
3600,0.0,1912.2799999999997,1.0,0.0,-1.0,0.0,-1000000.0,3600.0,1.0,3600.0,0.0,0.0,0.0,1.0,-0.42604448521745064,0.0,0.34245
3600,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,3600.0,1.0,3600.0,0.0,0.0,0.0,-1.0,-0.42604448521745064,0.0,0.34245
3600,0.118,0.127,-0.00048340182527925954,3.2615971357725333,0.0009681842993388753,-2.3545886096390245e-06,4.84267730849929,3582.378101348877,0.9995812177658081,3600.0,0.118,0.38799999999999996,0.0020698724924915076,-1.0,-0.43095147667950384,0.017764191999999995,0.39688889913838593
3600,0.367,4.598,-0.011236431427787758,98.51405517511822,0.02477201119565875,-1.3014004859819776e-05,56.078838992690976,3545.413827896118,0.9994122385978699,3600.0,0.367,0.33399999999999996,15.263746845636607,-1.0,-0.4413234418537423,0.04094105199999999,0.39993623595802036
3600,0.597,15.777000000000001,-0.02722278011230779,267.30309672029097,0.0634052895065661,-9.273793385858277e-06,100.1961513665783,3514.2950534820557,0.9988328814506531,3600.0,0.597,0.324,89.37965249692287,-1.0,-0.45013937930514847,0.062670672,0.3927725584245963
3600,0.866,31.691999999999997,-0.04291580811614193,467.98090212601505,0.10455791246949464,5.293410953275009e-07,124.31197927565859,3473.162627220154,1.00004243850708,3600.0,0.866,0.316,224.77809420937314,-1.0,-0.46191273186354137,0.086475296,0.41698599999999997
3800,0.0,1712.2799999999997,1.0,0.0,-1.0,0.0,-1000000.0,3800.0,1.0,3800.0,0.0,0.0,0.0,1.0,-0.37197726394717495,0.0,0.34245
3800,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,3800.0,1.0,3800.0,0.0,0.0,0.0,-1.0,-0.37197726394717495,0.0,0.34245
3800,0.118,0.41,-0.001899699189270334,11.457194717595407,0.0036962727183185197,-6.226639683403855e-06,18.628867440245926,3781.39910697937,0.9995812177658081,3800.0,0.118,0.38799999999999996,0.04108744171976209,-1.0,-0.37688425540922815,0.017764191999999995,0.4244734061121721
3800,0.367,8.302999999999999,-0.01944531708036484,157.87114739996397,0.04139991460415762,-1.3343793274588037e-05,93.66026223035828,3742.381262779236,0.9994122385978699,3800.0,0.367,0.325,41.639911906001466,-1.0,-0.3872562205834665,0.038764375000000004,0.40971946559070865
