Strike,Maturity,Dupire
5425.24,0.789,0.12382345
5425.24,0.832,0.12146406
5425.24,0.874,0.1190142
5425.24,0.916,0.116442
5425.24,0.958,0.113799244
5599.32,0.2,0.1028996
5599.32,0.242,0.10800744
5599.32,0.284,0.112876795
5599.32,0.326,0.11717859
5599.32,0.368,0.12072069
5599.32,0.411,0.12347575
5599.32,0.453,0.12531976
5599.32,0.495,0.12639792
5599.32,0.537,0.12678637
5599.32,0.579,0.12657233
5599.32,0.621,0.12588228
5599.32,0.663,0.124791406
5599.32,0.705,0.12335935
5599.32,0.747,0.121644765
5599.32,0.789,0.11971852
5599.32,0.832,0.11757511
5599.32,0.874,0.115342446
5599.32,0.916,0.11299838
5599.32,0.958,0.11059478
5773.39,0.2,0.098874435
5773.39,0.242,0.10415093
5773.39,0.284,0.10902945
5773.39,0.326,0.11325065
5773.39,0.368,0.11669284
5773.39,0.411,0.11935019
5773.39,0.453,0.121132016
5773.39,0.495,0.12218525
5773.39,0.537,0.122584365
5773.39,0.579,0.12242695
5773.39,0.621,0.12182338
5773.39,0.663,0.120846726
5773.39,0.705,0.11954975
5773.39,0.747,0.1179911
5773.39,0.789,0.11623895
5773.39,0.832,0.11429048
5773.39,0.874,0.11225514
5773.39,0.916,0.11012766
5773.39,0.958,0.10794377
5947.46,0.2,0.09529222
5947.46,0.242,0.10073361
5947.46,0.284,0.10563827
5947.46,0.326,0.109816566
5947.46,0.368,0.11318683
5947.46,0.411,0.11578319
5947.46,0.453,0.11752496
5947.46,0.495,0.1185658
5947.46,0.537,0.118987955
5947.46,0.579,0.1188898
5947.46,0.621,0.11836668
5947.46,0.663,0.117492646
5947.46,0.705,0.11632661
5947.46,0.747,0.114916354
5947.46,0.789,0.113327585
5947.46,0.832,0.11154621
5947.46,0.874,0.109696366
5947.46,0.916,0.10776137
5947.46,0.958,0.10577456
6121.53,0.2,0.09212523
6121.53,0.242,0.0977335
6121.53,0.284,0.10268581
6121.53,0.326,0.106842235
6121.53,0.368,0.11017109
6121.53,0.411,0.112719566
6121.53,0.453,0.11444301
6121.53,0.495,0.11548341
6121.53,0.537,0.11594065
6121.53,0.579,0.11589393
6121.53,0.621,0.11545088
6121.53,0.663,0.11468011
6121.53,0.705,0.113623366
6121.53,0.747,0.11234713
6121.53,0.789,0.11090411
6121.53,0.832,0.1092885
6121.53,0.874,0.107605346
6121.53,0.916,0.10584382
6121.53,0.958,0.10404303
6295.6,0.2,0.089366026
6295.6,0.242,0.095139325
6295.6,0.284,0.10015057
6295.6,0.326,0.104310155
6295.6,0.368,0.10761425
6295.6,0.411,0.11013611
6295.6,0.453,0.111844644
6295.6,0.495,0.11289903
6295.6,0.537,0.11338643
6295.6,0.579,0.11339307
6295.6,0.621,0.1130259
6295.6,0.663,0.112340294
6295.6,0.705,0.111398526
6295.6,0.747,0.110240914
6295.6,0.789,0.1089303
6295.6,0.832,0.107462406
6295.6,0.874,0.1059349
6295.6,0.916,0.10433458
6295.6,0.958,0.10269821
6469.68,0.2,0.08700931
6469.68,0.242,0.09294355
6469.68,0.284,0.09802265
6469.68,0.326,0.102198064
6469.68,0.368,0.10548233
6469.68,0.411,0.10799318
6469.68,0.453,0.10970125
6469.68,0.495,0.110767886
6469.68,0.537,0.11128637
6469.68,0.579,0.11134584
6469.68,0.621,0.11104366
6469.68,0.663,0.11044352
6469.68,0.705,0.10960021
6469.68,0.747,0.1085548
6469.68,0.789,0.10736715
6469.68,0.832,0.10603223
6469.68,0.874,0.104643
6469.68,0.916,0.10319414
6469.68,0.958,0.101713635
6643.75,0.2,0.0850396
6643.75,0.242,0.091144316
6643.75,0.284,0.09629474
6643.75,0.326,0.10048094
6643.75,0.368,0.10376629
6643.75,0.411,0.10627271
6643.75,0.453,0.107971795
6643.75,0.495,0.1090491
6643.75,0.537,0.10960497
6643.75,0.579,0.10971151
6643.75,0.621,0.1094712
6643.75,0.663,0.10894928
6643.75,0.705,0.10819448
6643.75,0.747,0.10725452
6643.75,0.789,0.10617173
6643.75,0.832,0.10496325
6643.75,0.874,0.103706464
6643.75,0.916,0.102387756
6643.75,0.958,0.1010521
6817.82,0.2,0.08347386
6817.82,0.242,0.08973753
6817.82,0.284,0.09495424
6817.82,0.326,0.0991657
6817.82,0.368,0.102447316
6817.82,0.411,0.10493844
6817.82,0.453,0.106644385
6817.82,0.495,0.1077354
6817.82,0.537,0.10831192
6817.82,0.579,0.108463794
6817.82,0.621,0.108277716
6817.82,0.663,0.10782279
6817.82,0.705,0.10714385
6817.82,0.747,0.106296524
6817.82,0.789,0.10531767
6817.82,0.832,0.10421598
6817.82,0.874,0.10307379
6817.82,0.916,0.10188837
6817.82,0.958,0.100678675
6991.89,0.2,0.08230137
6991.89,0.242,0.088711016
6991.89,0.284,0.093993045
6991.89,0.326,0.09822666
6991.89,0.368,0.10150316
6991.89,0.411,0.1039903
6991.89,0.453,0.10568439
6991.89,0.495,0.106782824
6991.89,0.537,0.10738111
6991.89,0.579,0.10756828
6991.89,0.621,0.107427716
6991.89,0.663,0.10703531
6991.89,0.705,0.10642784
6991.89,0.747,0.105664134
6991.89,0.789,0.104773015
6991.89,0.832,0.10377535
6991.89,0.874,0.10273764
6991.89,0.916,0.10165993
6991.89,0.958,0.10057358
