Strike,Maturity,0
3600,0.0,0.0
3600,0.118,0.11119042701627191
3600,0.367,5.309851832299008
3600,0.597,19.515113008278465
3600,0.866,43.11546800707319
3800,0.0,0.0
3800,0.118,0.4565494154182532
3800,0.367,9.441407341739247
3800,0.597,27.33237754832508
3800,0.866,55.26502327118233
3900,0.0,0.0
3900,0.118,0.6745624342500323
4000,0.0,0.0
4000,0.118,1.0064479425942485
4000,0.367,14.443457536302212
4000,0.597,37.82672990352232
4000,0.866,68.84368996798207
4100,0.0,0.0
4100,0.118,1.5296163315080418
4100,0.367,18.55716365141832
4200,0.0,0.0
4200,0.118,2.1250588046044743
4200,0.367,22.36113781206324
4200,0.597,50.26589714407483
4200,0.866,84.31499732803418
4300,0.0,0.0
4300,0.118,2.9216169170399784
4300,0.367,27.422301160912742
4400,0.0,0.0
4400,0.118,4.097734555238902
4400,0.367,34.02066857377636
4400,0.597,67.93672471763152
4400,0.866,105.51747887960879
4500,0.0,0.0
4500,0.118,5.981892176594485
4500,0.367,41.889780611994304
4600,0.0,0.0
4600,0.118,8.29868372888515
4600,0.367,51.37223530254182
4600,0.597,94.09232567169991
4600,0.866,129.24383450360304
4700,0.0,0.0
4700,0.118,11.900477876132506
4700,0.367,61.27551310001368
4800,0.0,0.0
4800,0.118,16.406425697650793
4800,0.195,33.76479779242254
4800,0.367,74.08966916432439
4800,0.597,125.38827994620348
4800,0.866,164.69654224562274
4900,0.0,0.0
4900,0.118,23.12701487332794
4900,0.195,44.28591868293271
4900,0.367,88.70958240640995
5000,0.0,0.0
5000,0.118,32.323529154964284
5000,0.195,58.07034178880293
5000,0.367,108.46958127012644
5000,0.597,167.0166344688269
5000,0.866,208.01185346287915
5100,0.0,0.0
5100,0.118,44.82833480753117
5100,0.195,75.03252400504033
5100,0.367,131.70239884734477
5200,0.0,0.0
5200,0.118,61.47413915505103
5200,0.195,96.93687240845048
5200,0.367,154.44931342374625
5200,0.597,214.11989822841696
5200,0.866,260.35740132657065
5250,0.0,0.0
5250,0.118,74.16660531432389
5300,0.0,0.0
5300,0.118,85.83947505793876
5300,0.195,121.1129063995832
5300,0.367,185.67084836621493
5300,0.597,243.57887160743104
5350,0.0,0.0
5350,0.118,98.61953037989414
5350,0.195,134.21409620050858
5350,0.367,203.86582613770761
5400,0.0,0.0
5400,0.118,113.90270769903067
5400,0.195,153.9371760353723
5400,0.367,216.72953082260722
5400,0.597,279.20559959023717
5400,0.866,328.4429804184097
5450,0.0,0.0
5450,0.118,134.00358529021685
5450,0.195,171.43540356496075
5450,0.367,236.03978196959676
5500,0.0,0.0
5500,0.118,151.98478332002844
5500,0.195,192.33738153951995
5500,0.367,257.01820155728655
5500,0.597,319.88006078661823
5500,0.866,362.73426533305883
5550,0.0,37.720000000000255
5550,0.118,176.48756963003467
5550,0.195,214.32576579604157
5550,0.367,281.3599372896378
5600,0.0,87.72000000000025
5600,0.118,201.2521290185215
5600,0.195,235.5895961487057
5600,0.367,301.195555268922
5600,0.597,364.3943717853404
5600,0.866,404.3320562964405
5650,0.0,137.72000000000025
5650,0.118,229.16132598777506
5650,0.195,263.33054399936003
5650,0.367,330.16349362011965
5700,0.0,187.72000000000025
5700,0.118,256.53506609962835
5700,0.195,292.5105394119839
5700,0.367,349.31112085300106
5700,0.597,409.6532811345427
5700,0.866,447.09040551617716
5750,0.0,237.72000000000025
5750,0.118,289.9610550143306
5750,0.195,321.1454207948903
5750,0.367,377.1808333896519
5800,0.0,287.72000000000025
5800,0.118,324.8506668606456
5800,0.195,351.35384917289963
5800,0.367,408.4868489271018
5800,0.597,462.14481248681415
5800,0.866,496.29388840403925
5850,0.0,337.7200000000002
5850,0.118,360.39724504678173
5850,0.195,384.0884108705281
5850,0.367,437.87335788943625
5900,0.0,387.7200000000002
5900,0.118,399.095855616801
5900,0.195,421.1005607509365
5900,0.367,465.1318711147235
5900,0.597,515.9287986515463
5900,0.866,541.9207323503333
5950,0.0,437.7200000000002
5950,0.118,438.72222114161815
5950,0.195,458.13995721993666
5950,0.367,494.14567400605216
6000,0.0,487.7200000000002
6000,0.118,480.4641991743203
6000,0.195,492.76736352746104
6000,0.367,529.7004469767248
6000,0.597,571.5864903109028
6000,0.866,594.9426987517128
6050,0.0,537.7200000000003
6050,0.118,527.061154356954
6050,0.195,534.8971840842862
6050,0.367,566.0125293764211
6100,0.0,587.7200000000003
6100,0.118,570.4146264932534
6100,0.195,576.1726948997646
6100,0.367,599.755720167435
6100,0.597,634.2040764879533
6100,0.866,660.1132806543225
6150,0.0,637.7200000000003
6150,0.118,615.1171721622615
6150,0.367,640.087806885073
6200,0.0,687.7200000000005
6200,0.118,664.2082200337154
6200,0.195,660.5453659101137
6200,0.367,675.2340063414804
6200,0.597,701.5758958321748
6200,0.866,719.68154696358
6250,0.0,737.7200000000005
6250,0.118,709.6057613736209
6250,0.367,715.1607426238864
6300,0.0,787.7200000000005
6300,0.118,760.3610450672322
6300,0.195,747.1655813855143
6300,0.367,757.2369266171314
6300,0.597,778.2687147020512
6300,0.866,781.9661403776256
6350,0.0,837.7200000000006
6350,0.118,804.2741614219933
6400,0.0,887.7200000000006
6400,0.118,859.1608309791773
6400,0.195,842.8866383694034
6400,0.367,838.9202695272087
6400,0.597,840.7843049337223
6400,0.866,847.8021046835278
6450,0.0,937.720000000001
6450,0.118,906.6309329498854
6500,0.0,987.720000000001
6500,0.118,958.3441234280325
6500,0.195,937.4347896116386
6500,0.367,922.2457035244145
6500,0.597,925.0233699595692
6600,0.0,1087.720000000001
6600,0.118,1053.3508054691206
6600,0.195,1032.1340213416984
6600,0.367,1015.2255689645949
6600,0.597,1001.3111609128061
6600,0.866,989.0538361396066
6700,0.0,1187.720000000001
6700,0.118,1152.759420967919
6700,0.195,1137.963144452995
6700,0.367,1103.4295761729481
6700,0.597,1088.8455226041506
6800,0.0,1287.720000000001
6800,0.195,1230.2375532248839
6800,0.367,1195.4981114513803
6800,0.597,1172.6688919294172
6800,0.866,1145.402770240859
6900,0.0,1387.720000000001
6900,0.195,1329.0162307775402
6900,0.367,1287.1049007639112
6900,0.597,1265.6014272378104
7000,0.0,1487.720000000001
7000,0.195,1428.0170411079594
7000,0.367,1382.950196117323
7000,0.597,1352.6466478984266
7000,0.866,1312.0514748419407
7100,0.0,1587.720000000001
7100,0.367,1480.5102519899403
7100,0.597,1448.6287399501955
7200,0.0,1687.720000000001
7200,0.367,1582.968673840252
7200,0.597,1532.1026341766437
7200,0.866,1480.1448999441895
7300,0.0,1787.720000000001
7300,0.367,1677.8841871132158
7300,0.597,1627.0367504446383
7400,0.0,1887.720000000001
7400,0.367,1775.547720779541
7400,0.597,1719.7206108779724
7400,0.866,1663.659044699123
7500,0.0,1987.720000000001
7500,0.367,1871.7586728189447
7600,0.0,2087.7200000000007
7600,0.367,1972.8111299684444
7600,0.597,1917.9022740785456
7600,0.866,1835.1876722532434
7700,0.0,2187.7200000000007
7700,0.367,2066.169757535626
7800,0.0,2287.7200000000007
7800,0.866,2028.1770172776712
8000,0.0,2487.7200000000007
8000,0.866,2211.043338713959
8200,0.0,2687.7200000000007
8200,0.866,2395.9469275415227
8400,0.0,2887.7200000000007
8400,0.866,2593.09723026692
8600,0.0,3087.7200000000007
8600,0.866,2793.938033816827
8800,0.0,3287.7200000000007
8800,0.866,2970.848570665772
