Strike,Maturity,Price,Delta,Vega,Delta Strike,Gamma Strike,Theta,ChangedStrike,DividendFactor,Strike,Maturity,ImpliedVol,VegaRef,OptionType,logMoneyness,impliedTotalVariance,locvol
3858.6,0.0,1653.6799999999998,1.0,0.0,-1.0,0.0,-1000000.0,3858.6,1.0,3858.6,0.0,0.0,0.0,1.0,-0.3566739072927797,0.0,0.34245
3858.6,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,3858.6,1.0,3858.6,0.0,0.0,0.0,-1.0,-0.3566739072927797,0.0,0.34245
3858.6,0.2,1.8389771325609843,-0.006482269399128117,44.88505699111393,0.01287686352464392,-1.1982884710314213e-05,45.09243829104241,3825.558187365532,0.999659538269043,3858.6,0.2,0.339063,3.9348562838554053,-1.0,-0.3652739427105636,0.022992743593800002,0.35497538814297147
3858.6,0.242,3.025267781747182,-0.009536180378460782,69.3351497215988,0.019235832593715932,-1.3571588294307992e-05,58.8687035940452,3818.8530448436736,0.9995973706245422,3858.6,0.242,0.32968800000000004,10.462198127251012,-1.0,-0.36702820318602236,0.026303990917248006,0.3828282078956396
3858.6,0.284,4.966856163046572,-0.013880711712318495,104.06267553155419,0.02848641011176986,-1.4343671451501707e-05,77.62044330421975,3812.5524555802344,0.9995351433753967,3858.6,0.284,0.327344,21.136174169105672,-1.0,-0.3686794299999197,0.030431762791424,0.40490736927726867
3858.6,0.326,7.385669169120419,-0.018589156341723007,143.2016457976976,0.03874623504748996,-1.3887082980194531e-05,95.40966845961395,3806.3544420719145,0.999472975730896,3858.6,0.326,0.325781,35.966545981999076,-1.0,-0.37030643895509935,0.034599442747286,0.4186395304991548
3858.6,0.368,10.132426388662736,-0.023312528803643984,184.29266853771384,0.04926109324840208,-1.250777931843824e-05,110.87711037233271,3799.9418474435806,0.9994099736213684,3858.6,0.368,0.324219,54.535961714178775,-1.0,-0.3719925673685926,0.03868340926564799,0.406963298710938
3858.6,0.411,12.779466178119236,-0.027407207766347398,223.0403724647634,0.05854635754204615,-1.0761570791159008e-05,121.48066380462456,3793.5055637955666,0.9993016123771667,3858.6,0.411,0.320703,76.94229789842731,-1.0,-0.3736877882191001,0.042271520239899,0.39688077786785114
3858.6,0.453,15.795395023134205,-0.031678017239407386,264.0727356266428,0.06839243612572607,-8.541939412956589e-06,131.98180155671798,3787.348718583584,0.9991957545280457,3858.6,0.453,0.31875,101.60459589894668,-1.0,-0.3753121029299046,0.0460255078125,0.40025373682550874
3858.6,0.495,19.028569124341374,-0.035880349150686254,305.8381967455,0.07824061395629228,-6.0405100540014385e-06,141.26636318881629,3781.2201622009275,0.9990898966789246,3858.6,0.495,0.317188,128.46582643377664,-1.0,-0.37693157890181894,0.04980107253528001,0.40843897940473334
3858.6,0.537,22.62394517654434,-0.04019404396932576,349.4629347390536,0.08851246747664993,-3.2169530427649906e-06,150.25214525280967,3775.225000298023,0.9989840388298035,3858.6,0.537,0.316406,157.1175686486335,-1.0,-0.37851834702674586,0.05376055042093201,0.40486200194232413
3858.6,0.579,26.103141990601813,-0.044053854563828765,390.8262196014396,0.09784849657418856,-5.082685852911902e-07,156.91576042123575,3769.255827319622,0.9988782405853271,3858.6,0.579,0.315039,187.12427607690043,-1.0,-0.3801007419881339,0.057465501910658995,0.4003338877592755
3858.6,0.621,29.409058792298765,-0.047454984927883255,429.6855593470329,0.10621496918470133,1.997223502862649e-06,161.52158056269036,3762.7751555085183,0.9989384412765503,3858.6,0.621,0.313281,217.83070699807018,-1.0,-0.38182157224630003,0.06094803566078098,0.3833769504673572
3858.6,0.663,32.55834760242374,-0.05047714444478242,466.4279300244451,0.1137707991029176,4.29968646019829e-06,164.59282081580534,3755.831972837448,0.9991278052330017,3858.6,0.663,0.311328,248.91313704125676,-1.0,-0.3836685060004493,0.06426135693619199,0.3821835588147033
3858.6,0.705,35.84510354190979,-0.0534633052207806,503.44908113549184,0.12133032454498371,6.626871505292981e-06,167.46396619187158,3749.005625331402,0.9993172287940979,3858.6,0.705,0.309766,280.4835491473398,-1.0,-0.3854876924383616,0.06764825720298,0.3833362611637568
3858.6,0.747,39.28947242212962,-0.05642819224763728,540.8111265451419,0.12893088708184047,8.979863629636714e-06,170.19074188955494,3742.2015869021416,0.9995066523551941,3858.6,0.747,0.308594,312.3072370283481,-1.0,-0.3873042328456692,0.071137001856492,0.3919120152076074
3858.6,0.789,42.90814698936936,-0.059378111821591015,578.5219287632377,0.13659111487798686,1.1354960246101424e-05,172.78831669375188,3735.2772634506223,0.9996961355209351,3858.6,0.789,0.307813,344.1297005690826,-1.0,-0.38915628099434235,0.07475683710254101,0.3977600523412518
3858.6,0.832,46.72006784646538,-0.0623212034180512,616.9801479817486,0.14433531123817708,1.375089173068469e-05,175.16089660592831,3728.1907967090606,0.999890148639679,3858.6,0.832,0.307227,376.67438246546635,-1.0,-0.3910552557910417,0.07853117336812798,0.4013008695313728
3858.6,0.874,50.30865778781771,-0.06494680216698642,652.9952231357839,0.15133283027020822,1.590415098521599e-05,176.74728363383883,3721.4831242918967,1.00004243850708,3858.6,0.874,0.30644499999999997,408.50989508384686,-1.0,-0.3928560525241524,0.08207606223384997,0.404026
3858.6,0.916,51.651058165474296,-0.0657750092433046,675.1042032985063,0.15361359292949966,1.6575471121581427e-05,173.41770870846017,3715.3554878711698,1.00004243850708,3858.6,0.916,0.302344,440.6600987792008,-1.0,-0.3945039672166673,0.083733295211776,0.404026
