Strike,Maturity,0
6121.53,0.832,667.5370324314342
6121.53,0.874,669.5706233551496
6121.53,0.916,669.896697864352
6121.53,0.958,674.1132132432364
6295.6,0.0,783.3200000000004
6295.6,0.2,748.2599787476156
6295.6,0.242,747.5459257957732
6295.6,0.284,749.8706594382563
6295.6,0.326,747.6268728307592
6295.6,0.368,757.2983531946616
6295.6,0.411,755.0265173551795
6295.6,0.453,757.1253632831566
6295.6,0.495,762.1350058867873
6295.6,0.537,765.8954819827526
6295.6,0.579,769.539244657999
6295.6,0.621,772.7941481291529
6295.6,0.663,774.3868709172067
6295.6,0.705,779.4021998799234
6295.6,0.747,778.6974577743566
6295.6,0.789,778.357503006192
6295.6,0.832,778.251702099901
6295.6,0.874,785.9179670481618
6295.6,0.916,784.6822872826971
6295.6,0.958,782.2763085766792
6469.68,0.0,957.4000000000013
6469.68,0.2,913.7438373176932
6469.68,0.242,904.0180608956856
6469.68,0.284,902.7396709467215
6469.68,0.326,894.3895536347071
6469.68,0.368,902.1632736240803
6469.68,0.411,898.093498924013
6469.68,0.453,899.5331264098487
6469.68,0.495,896.5264409945388
6469.68,0.537,900.1197396374969
6469.68,0.579,898.2960187715815
6469.68,0.621,899.1514412756254
6469.68,0.663,902.4875815758622
6469.68,0.705,900.1505604588259
6469.68,0.747,898.3798497871646
6469.68,0.789,897.6452183624343
6469.68,0.832,893.4867089835345
6469.68,0.874,897.4621778879656
6469.68,0.916,900.1097500220045
6469.68,0.958,892.5130668567493
6643.75,0.0,1131.470000000001
6643.75,0.2,1077.423444296897
6643.75,0.242,1074.4894551145762
6643.75,0.284,1058.921990915175
6643.75,0.326,1061.296628530804
6643.75,0.368,1053.1136936514442
6643.75,0.411,1046.6305383087451
6643.75,0.453,1043.967809661553
6643.75,0.495,1048.3125417261876
6643.75,0.537,1044.131031085733
6643.75,0.579,1038.9985597459997
6643.75,0.621,1037.5917970970322
6643.75,0.663,1038.3299586930461
6643.75,0.705,1039.7345642282428
6643.75,0.747,1032.2841872660902
6643.75,0.789,1034.744901195365
6643.75,0.832,1026.7084456136106
6643.75,0.874,1022.9468309934344
6643.75,0.916,1028.0029576501984
6643.75,0.958,1023.7276584138561
6817.82,0.0,1305.5400000000006
6817.82,0.2,1246.9678670485557
6817.82,0.242,1236.1836955235024
6817.82,0.284,1230.4919213091462
6817.82,0.326,1222.567297309048
6817.82,0.368,1214.720359417315
6817.82,0.411,1205.9429931624188
6817.82,0.453,1201.3781711974298
6817.82,0.495,1194.703074908657
6817.82,0.537,1192.7440817077343
6817.82,0.579,1194.8388798404526
6817.82,0.621,1186.365008999964
6817.82,0.663,1181.5330357447335
6817.82,0.705,1173.1516382142383
6817.82,0.747,1170.366507962487
6817.82,0.789,1170.3418094372898
6817.82,0.832,1163.8633977540294
6817.82,0.874,1164.6805518945516
6817.82,0.916,1159.256711975523
6817.82,0.958,1158.2206503043485
6991.89,0.0,1479.6100000000006
6991.89,0.2,1421.0888115407977
6991.89,0.242,1408.0562947759156
6991.89,0.284,1397.483604818727
6991.89,0.326,1388.8960375429635
6991.89,0.368,1377.852090956801
6991.89,0.411,1373.3864561108694
6991.89,0.453,1364.096927437886
6991.89,0.495,1357.9606222478606
6991.89,0.537,1352.5181735897638
6991.89,0.579,1346.281211989554
6991.89,0.621,1341.9240825882073
6991.89,0.663,1330.8625637112025
6991.89,0.705,1325.9624432634328
6991.89,0.747,1317.2789924265005
6991.89,0.789,1316.5383901344503
6991.89,0.832,1314.9575230694963
6991.89,0.874,1302.2252813251812
6991.89,0.916,1302.8563485420843
6991.89,0.958,1287.1584587102732
