Strike,Maturity,Price,stdPrice
1000.0,0.37,0.0,0.0
1100.0,0.342,0.0,0.0
1100.0,0.37,0.0,0.0
1200.0,0.342,0.0,0.0
1200.0,2.585,0.5238979170521951,9.406779999578406
1225.0,0.342,0.0,0.0
1250.0,1.588,0.035784221503131514,1.7185463177586
1275.0,0.342,0.0,0.0
1275.0,0.621,0.0,0.0
1275.0,1.588,0.05202868561170518,2.283637404476952
1300.0,0.342,0.0,0.0
1300.0,0.419,0.0,0.0
1300.0,0.621,0.0,0.0
1300.0,1.588,0.06916256790734265,2.8891457004212513
1300.0,2.585,1.302814892779414,16.53856304950751
1325.0,0.342,0.0,0.0
1350.0,1.09,0.003181252949242571,0.3261909474041434
1350.0,1.588,0.13284324725092972,4.284441878248413
1375.0,0.621,0.0,0.0
1375.0,1.588,0.18424873598892316,5.143115334290942
1375.0,2.585,2.278403933715361,23.3901637903737
1400.0,0.203,0.0,0.0
1400.0,0.285,0.0,0.0
1400.0,0.342,0.0,0.0
1400.0,0.621,0.0,0.0
1400.0,1.09,0.009419931657619158,0.833334723411936
1400.0,1.588,0.25142498141767816,6.136691200293912
1425.0,0.246,0.0,0.0
1425.0,0.342,0.0,0.0
1425.0,0.871,0.0,0.0
1425.0,2.585,3.1857282298077196,28.791858591075883
1450.0,0.6679999999999999,0.0,0.0
1450.0,0.841,0.0,0.0
1450.0,1.09,0.03639277954901011,1.7160034197687364
1450.0,2.585,3.7281226316382168,31.738420016212896
1475.0,0.419,0.0,0.0
1475.0,0.621,0.0,0.0
1475.0,0.871,0.0041271149216772895,0.42133186059939026
1475.0,1.588,0.609436195656277,10.038774809327625
1500.0,0.17,0.0,0.0
1500.0,0.203,0.0,0.0
1500.0,0.419,0.0,0.0
1500.0,0.841,0.0048281678960391235,0.49290145816866887
1500.0,0.871,0.006575842959298916,0.6713193602868746
1500.0,1.09,0.07085827965517162,2.8967443400637625
1525.0,0.17,0.0,0.0
1525.0,0.246,0.0,0.0
1525.0,0.419,0.0,0.0
1525.0,0.841,0.00772168057228504,0.7442708491195823
1525.0,0.871,0.01404119305626098,0.9638841693910478
1525.0,1.09,0.09975017951176804,3.562046685657441
1550.0,0.17,0.0,0.0
1550.0,0.342,0.0,0.0
1550.0,0.419,0.0,0.0
1550.0,0.591,0.0,0.0
1550.0,0.621,0.0,0.0
1550.0,0.841,0.018473101950247588,1.0828872762494708
1550.0,0.871,0.028733561281990738,1.4213293622361198
1550.0,1.588,1.220201200248707,15.455309909880707
1550.0,2.585,6.686881447664612,45.298222802155685
