Strike,Maturity,Price,stdPrice
1000.0,0.37,14.582030370061478,87.32423118964923
1100.0,0.342,17.4850301598954,102.21233312057286
1100.0,0.37,18.308336738947897,103.99701600859183
1200.0,0.342,21.151293824085236,119.16402733481077
1200.0,2.585,73.86349131522418,263.68284695302435
1225.0,0.342,22.098481976861013,123.49009836141678
1250.0,1.588,60.4935257589927,242.7679412273639
1275.0,0.342,24.03173287268503,132.2386387445523
1275.0,0.621,35.57733561232693,176.74034062294936
1275.0,1.588,62.329944429170894,248.7495315041339
1300.0,0.342,25.005221063465537,136.6601527413957
1300.0,0.419,30.710534052835342,156.64734870001445
1300.0,0.621,36.76024297825497,181.62280653978743
1300.0,1.588,64.19185731368137,254.75759882877404
1300.0,2.585,83.83090126658028,290.5964980060736
1325.0,0.342,25.985655882131248,141.10958811361942
1350.0,1.09,54.07618175418788,233.41140403912166
1350.0,1.588,68.02399756245718,266.8473513565776
1375.0,0.621,40.3738530194437,196.41177100312106
1375.0,1.588,69.98624447263494,272.9330892565245
1375.0,2.585,91.81693881499952,311.1463155102343
1400.0,0.203,17.11956327841963,107.2660310080239
1400.0,0.285,25.90673064776113,142.6935670294206
1400.0,0.342,28.947212023571687,154.61207000490754
1400.0,0.621,41.60053146515558,201.38681955523413
1400.0,1.09,57.2849483783406,244.56785059481226
1400.0,1.588,71.98500635888173,279.04506525470583
1425.0,0.246,22.144238861731022,128.61335991143585
1425.0,0.342,29.944084509034134,159.1581116448682
1425.0,0.871,53.454540512896884,236.99206253501816
1425.0,2.585,97.44311876750498,325.0128679379734
1450.0,0.6679999999999999,44.203100545078684,213.1937920776061
1450.0,0.841,52.707696293548594,237.17901436060126
1450.0,1.09,60.61475372851431,255.8211582898326
1450.0,2.585,100.36853224189348,331.9926836976719
1475.0,0.419,38.482998637295694,190.34529415029706
1475.0,0.621,45.3974865164211,216.43813058304406
1475.0,0.871,56.48009247009737,247.84973967006283
1475.0,1.588,78.27477615202119,297.5315502608247
1500.0,0.17,15.307572984123844,102.31514716478864
1500.0,0.203,20.169418104392904,123.0615375461328
1500.0,0.419,39.624176837003084,195.23274098838564
1500.0,0.841,55.67864740731997,247.89196505113804
1500.0,0.871,58.03574226330097,253.31105455607513
1500.0,1.09,64.07471302965973,267.17472845714974
1525.0,0.17,15.986803530604808,105.98609999955596
1525.0,0.246,25.550116453061975,145.53070577152508
1525.0,0.419,40.77060274586573,200.13777270300366
1525.0,0.841,57.199079393972944,253.2833759334669
1525.0,0.871,59.63571866118252,258.79238223869385
1525.0,1.09,65.85950526962225,272.8905971196814
1550.0,0.17,16.668076627718545,109.68529932454933
1550.0,0.342,35.01418589790742,182.1793110324044
1550.0,0.419,41.92303209357238,205.05932486649775
1550.0,0.591,49.575480873898165,232.1426904305369
1550.0,0.621,49.33891753873108,231.68776059701915
1550.0,0.841,58.74386846258167,258.698554791589
1550.0,0.871,61.26092302343461,264.29969007579604
1550.0,1.588,85.04487924208003,316.268964343851
1550.0,2.585,112.77138375908307,360.2738870411014
1575.0,0.093,5.73289820348373,59.02855930664026
1575.0,0.342,36.04529462977156,186.83685058820765
1575.0,0.591,50.902436712422606,237.27717861080959
1575.0,0.6679999999999999,50.770808048276535,238.4561046518061
1575.0,1.09,69.55028334866199,284.4023666212841
1575.0,2.585,116.05927936029127,367.4361073635928
1600.0,0.07400000000000001,2.0684415590515197,32.62669171271849
1600.0,0.37,38.85215536958377,195.55285945452493
1600.0,0.419,44.25457792335999,214.94883282302658
1600.0,0.591,52.253941095534444,242.43013270816317
1600.0,0.621,52.04457678616371,241.96658434531955
1600.0,0.841,61.92409795864597,269.5987110201032
1600.0,1.588,89.879378237436,328.9072528387198
1600.0,2.585,119.43456970019692,374.6331606017466
1625.0,0.17,18.727819361091367,120.93262931318209
1625.0,0.37,39.95784704105347,200.35228228108872
1625.0,0.419,45.448108752744474,219.9145962931204
1625.0,0.621,53.4260781093112,247.1380521407826
1625.0,0.841,63.57399312974781,275.08295503340827
1625.0,1.09,73.43152230159271,296.0245402362256
1625.0,2.585,122.90117381342752,381.8652421160399
1650.0,0.07400000000000001,2.3028739901500206,35.81293339822829
1650.0,0.342,39.16294539090775,200.9048700925303
1650.0,0.419,46.656377599381386,224.89621976551425
1650.0,0.6679999999999999,55.01133624467556,253.88582438697074
1650.0,0.871,68.08023143471782,286.58414372109627
1650.0,2.585,126.48512883300063,389.12513243509017
1675.0,0.093,6.862347405689594,68.79301847097625
1675.0,0.17,20.10587984530118,128.53671086417413
1675.0,0.246,30.808483280138844,171.43019012928008
1675.0,0.342,40.22100837560108,205.62257077537083
1675.0,0.621,56.2798164713152,257.5425827093661
1675.0,0.871,69.87530617429788,292.22132277760744
1675.0,2.585,130.17650965324182,396.4192473188924
1700.0,0.093,7.1466590774473495,71.27096341769264
1700.0,0.246,31.70287085631507,175.79981841425663
1700.0,0.285,37.66753828119467,196.85640374615062
1700.0,0.37,43.36073627828102,214.8464012568438
1700.0,0.419,49.10764404932715,234.90979357452613
1700.0,0.591,57.849439495081974,263.24661262491975
1700.0,0.621,57.763033038451134,262.77585792514594
1700.0,0.6679999999999999,58.00763660467829,264.2925318720065
1700.0,1.588,100.43614489891435,354.581011263179
1700.0,2.585,133.96003141675226,403.7546575936533
1725.0,0.342,42.36666932366564,215.10045625652677
1725.0,0.37,44.52482857991687,219.71049313644434
1725.0,0.591,59.32239356032129,268.49921249643774
1725.0,0.621,59.280394884513825,268.0330406645465
1725.0,0.6679999999999999,59.56404037920776,269.534554859544
1725.0,0.871,73.58498389698066,303.57936369683625
1725.0,2.585,137.83964037330725,411.1305106448932
1750.0,0.112,11.190001544107112,92.31887185850803
1750.0,0.131,15.483071661986035,111.25392362734198
1750.0,0.151,20.82543131189596,129.65817829045662
