,0
0,6.530359745025635
1,6.651036739349365
2,7.353996276855469
3,6.783769607543945
4,7.379894256591797
5,7.4803595542907715
6,7.107405662536621
7,6.6411614418029785
8,6.860922336578369
9,6.4591898918151855
10,6.66720724105835
11,6.632472991943359
12,5.948923587799072
13,6.4463958740234375
14,6.077232837677002
15,6.233570575714111
16,6.335821151733398
17,5.238621711730957
18,6.846121311187744
19,7.395462989807129
20,7.685122966766357
21,7.81467866897583
22,7.923173904418945
23,7.9908223152160645
24,8.02611255645752
25,8.034859657287598
26,8.020516395568848
27,7.985278606414795
28,7.930213451385498
29,7.854790210723877
30,7.757379055023193
31,7.634748935699463
32,7.480069160461426
33,7.280912399291992
34,7.012677192687988
35,6.618826866149902
36,5.97918701171875
37,5.95599889755249
38,6.38895845413208
39,6.544838905334473
40,6.541416168212891
41,6.413451671600342
42,6.143102645874023
43,5.6564741134643555
44,5.290563106536865
45,5.603623390197754
46,5.671431541442871
47,5.507584571838379
48,5.091981410980225
49,4.833765983581543
50,5.0461344718933105
51,4.921998023986816
52,4.526318073272705
53,4.635900020599365
54,4.729873180389404
55,4.559813022613525
56,7.065435409545898
57,4.533374309539795
58,4.672643184661865
59,4.707370281219482
60,4.707653045654297
61,4.750341415405273
62,4.791966915130615
63,4.793753623962402
64,4.754441738128662
65,4.756083011627197
66,4.7992706298828125
67,4.8403849601745605
68,4.838516712188721
69,4.791024684906006
70,4.725571155548096
71,4.684723377227783
72,4.662399768829346
73,4.585549354553223
74,4.529959678649902
75,4.497037410736084
76,4.440846920013428
77,4.492167949676514
78,4.470004081726074
79,4.408656120300293
80,4.476874828338623
81,4.487344741821289
82,4.395164966583252
83,4.354851722717285
84,4.368706226348877
85,4.265374183654785
86,4.228152751922607
87,4.2239580154418945
88,4.133187770843506
89,4.1742119789123535
90,4.110299110412598
91,4.144065856933594
92,4.116144180297852
93,4.127302646636963
94,4.118897438049316
95,4.102977752685547
96,4.111177444458008
97,4.071302890777588
98,4.085415840148926
99,4.0490312576293945
100,4.056522846221924
101,4.03662633895874
102,4.025379180908203
103,4.023000717163086
104,4.00178861618042
105,4.005111217498779
106,3.984576940536499
107,3.9832897186279297
108,3.9695513248443604
109,3.9599239826202393
110,3.9523215293884277
111,3.9367356300354004
112,3.9316225051879883
113,3.913583278656006
114,3.906984806060791
115,3.8883566856384277
116,3.879261016845703
117,3.8584864139556885
118,3.844831943511963
119,3.820730447769165
120,3.802196979522705
121,3.7747116088867188
122,3.7505364418029785
123,3.7295429706573486
124,4.325120449066162
125,3.7498648166656494
126,3.8758349418640137
127,4.019461631774902
128,4.159640789031982
129,4.266366004943848
130,4.342483997344971
131,4.381174087524414
132,4.385889530181885
133,5.280913352966309
134,4.715455055236816
135,4.922806739807129
136,4.9212446212768555
137,4.849945545196533
138,4.919677734375
139,5.005176067352295
140,4.978670120239258
141,4.893652439117432
142,4.8427581787109375
143,4.833702564239502
144,4.805681228637695
145,4.743370532989502
146,4.6689629554748535
147,4.608964920043945
148,4.563357830047607
149,4.508719444274902
150,4.431514263153076
151,4.339241027832031
152,4.261168003082275
153,4.207638740539551
154,4.156324863433838
155,4.107833385467529
156,4.689795970916748
157,4.935385704040527
158,5.597597122192383
159,6.011050701141357
160,6.303987503051758
161,6.524872303009033
162,6.696283340454102
163,6.830405235290527
164,6.934561729431152
165,7.013566493988037
166,7.070824146270752
167,7.108890056610107
168,7.129761695861816
169,7.135034561157227
170,7.125974655151367
171,7.103553295135498
172,7.068449020385742
173,7.021037578582764
174,6.961381435394287
175,6.889258861541748
176,6.80431604385376
177,6.7065839767456055
178,6.59792423248291
179,6.485527038574219
180,6.387615203857422
181,6.332317352294922
182,6.3304057121276855
183,6.35134220123291
184,6.355062961578369
185,6.322940349578857
186,6.255127906799316
187,6.163093090057373
188,6.06614351272583
189,5.984309196472168
190,5.926320552825928
191,5.885794639587402
192,5.850301742553711
193,5.810113906860352
194,5.76032018661499
195,5.699848651885986
196,5.630458831787109
197,5.556208610534668
198,5.482685089111328
199,5.415064334869385
200,5.355215549468994
201,5.300146579742432
202,5.243775844573975
203,5.1805620193481445
204,5.108158111572266
205,5.028183937072754
206,4.945552349090576
207,4.866487979888916
208,4.795112133026123
209,4.730321407318115
210,4.666528224945068
211,4.59902286529541
212,4.529694557189941
213,4.4672722816467285
214,4.41871452331543
215,4.380539417266846
216,4.344245433807373
217,4.30844783782959
218,4.280616283416748
219,4.265095233917236
220,4.254793167114258
221,4.242039203643799
222,4.229314804077148
223,4.2223687171936035
224,4.219340801239014
225,4.214207649230957
226,4.206149101257324
227,4.199389934539795
228,4.195394515991211
229,4.190507888793945
230,4.182633399963379
231,4.174541473388672
232,4.1684722900390625
233,4.162388801574707
234,4.154212474822998
235,4.145556449890137
236,4.138470649719238
237,4.13167667388916
238,4.123566627502441
239,4.11557149887085
240,4.109004020690918
241,4.102387428283691
242,4.094807147979736
243,4.08770751953125
244,4.081495761871338
245,4.07475471496582
246,4.067592620849609
247,4.061051845550537
248,4.054372310638428
249,4.046769142150879
250,4.039078235626221
251,4.031418800354004
252,4.02292537689209
253,4.013932704925537
254,4.004873752593994
255,3.9950952529907227
256,3.984632968902588
257,3.9740731716156006
258,3.963104009628296
259,3.9516541957855225
260,3.940239667892456
261,3.9286997318267822
262,3.916928768157959
263,3.9053537845611572
264,3.8938748836517334
265,3.882341146469116
266,3.8709774017333984
267,3.8595519065856934
268,3.847837448120117
269,3.8359153270721436
270,3.823519468307495
271,3.8104913234710693
272,3.796900510787964
273,3.7825710773468018
274,3.7676002979278564
275,3.752162218093872
276,3.7362611293792725
277,3.7201485633850098
278,3.703831434249878
279,3.687318801879883
280,3.670567274093628
281,3.653296709060669
282,3.635284662246704
283,3.6158957481384277
284,3.5945630073547363
285,3.5718936920166016
286,3.549870014190674
287,3.5288472175598145
288,3.5059738159179688
289,3.4840126037597656
290,3.4642457962036133
291,3.439920663833618
292,3.414829730987549
293,4.597020626068115
294,4.584618091583252
295,5.157613277435303
296,5.4559407234191895
297,5.633875370025635
298,5.745449066162109
299,5.81623649597168
300,5.859560012817383
301,5.882193088531494
302,5.887344837188721
303,5.876743793487549
304,5.852015972137451
305,5.815562725067139
306,5.771106719970703
307,5.7237772941589355
308,5.679423809051514
