Strike,Maturity,Price,stdPrice
1700.0,0.246,1.4556959447919327,24.8696984464552
2300.0,0.419,25.58854217295708,123.8123861175664
2350.0,0.093,14.016421400699135,68.64271969818441
2350.0,0.112,14.416882341714345,70.31830657682995
2400.0,0.419,37.626465537209235,144.72542721378343
2550.0,0.342,58.1000983053502,161.48810413436647
2600.0,0.093,49.78186290014151,127.06319745319402
2600.0,0.17,56.840323291759496,139.8148946596816
2650.0,0.342,88.36500494818766,189.79386840217407
2660.0,0.246,79.42545599250079,164.4432403583951
2675.0,0.112,76.90185271632723,154.29508439913542
2700.0,0.093,82.09021116070078,158.0584398239052
2700.0,0.093,83.13010074478728,159.12701122860366
2700.0,0.246,96.2517784804654,178.3297408865349
2715.0,0.112,90.75007572461827,165.93977998100556
2725.0,0.036000000000000004,69.94711219258674,151.93507924018428
2740.0,0.016,48.4307123931231,109.27525048266786
2745.0,0.093,98.6664113524659,172.86397156632398
2750.0,0.011,39.32716797991454,87.90503335316961
2750.0,0.016,51.7722547640449,113.3691815778246
2750.0,0.036000000000000004,75.31262247666973,157.3303052506619
2750.0,0.17,111.93005160774071,186.6069854182186
2750.0,0.591,156.68098952695067,307.0513778175499
2750.0,1.588,310.3684618052624,517.775645174181
2755.0,0.093,104.00316827099483,177.82907514003236
2755.0,0.17,114.75690867516978,189.39947459800723
2760.0,0.011,42.47305850984282,91.75566030082508
2760.0,0.016,54.32519729176705,116.55934447734539
2765.0,0.093,107.87488214809028,180.59983881213674
2770.0,0.093,109.23753883285987,181.84337101166807
2775.0,0.016,58.700683994920524,121.26674025153802
2775.0,0.07400000000000001,105.6777798393322,181.77390059078056
2775.0,1.588,317.8678693397001,527.4800489477627
2790.0,0.112,122.0301836648498,193.21427582754822
2795.0,0.005,27.434193027706346,40.62640062048049
2800.0,0.005,29.54253452872883,42.720831257522576
2800.0,0.011,54.55638326781949,104.82488407783005
2800.0,0.036000000000000004,93.18064851240476,177.42201722091568
2800.0,0.591,177.48720963944277,323.00139948154185
2805.0,0.036000000000000004,94.47940904304987,178.76429770936204
2805.0,0.093,123.54410557648488,195.1331333317137
2810.0,0.005,33.66710566503451,46.699457460643906
2810.0,0.011,58.371246879428,109.2269215709364
2810.0,0.055,109.41784768805348,190.10352949850684
2815.0,0.03,92.97988016761333,172.8707844762626
2820.0,0.005,38.09869420214921,50.869574951087486
2820.0,0.016,73.71623207487765,136.87879082465386
2820.0,0.112,133.44780949698676,203.3030568620995
2820.0,0.203,144.82855943682137,213.2856062256032
2825.0,0.011,64.04436734889786,114.6304343639201
2825.0,0.07400000000000001,126.9804008877626,200.54855084791302
2825.0,2.585,411.11600923769953,592.0101117084974
2830.0,0.112,138.87870476662266,208.03394012532934
2835.0,0.011,66.80834142243623,117.29759810456979
2835.0,0.17,151.5814293755383,219.22664887135306
2840.0,0.005,47.46503560850396,59.41066691113662
2840.0,0.011,68.68680776064164,118.929747647033
2840.0,0.036000000000000004,105.29255736682887,189.88617246746847
2840.0,0.07400000000000001,133.68246029684158,205.45895331621443
2840.0,0.131,147.05554145421388,214.42931502860262
2845.0,0.005,49.19379961718169,61.28275338242605
2845.0,0.036000000000000004,109.30899889225122,195.18975530719078
2845.0,0.112,144.82280410245943,213.7023176659928
2850.0,0.005,51.77408105187987,63.521896822842095
2850.0,0.011,73.18480676532505,122.43692110916042
2850.0,0.036000000000000004,110.00190881657913,195.13689862086312
2850.0,0.203,159.4677996607394,226.00423476105883
2850.0,0.419,182.2708804058073,278.3805800219978
2850.0,0.841,231.31045346706819,418.2611175925532
2855.0,0.005,53.94352563320921,65.63267991195121
2865.0,0.036000000000000004,115.7263622085479,199.49344015089054
2865.0,0.07400000000000001,144.51412214381946,214.44187433381205
2870.0,0.07400000000000001,145.78824462800836,215.63785670663344
2870.0,0.112,154.8191913599911,221.72791856925292
2870.0,0.246,172.87923983462377,235.4428939582631
2875.0,0.011,82.87378013825868,132.0252328280828
2875.0,0.419,194.23784757366337,285.0014399984752
2880.0,0.005,66.18073427775043,76.42992985097742
2880.0,0.036000000000000004,122.17316712474836,205.4981665895198
2880.0,0.112,162.27408236945658,228.93833297135225
2885.0,0.011,86.14556872319116,135.16499685048487
2885.0,0.036000000000000004,123.21837448930522,206.4699382736354
