Strike,Maturity,Price,Delta,Vega,Delta Strike,Gamma Strike,Theta,ChangedStrike,DividendFactor,Strike,Maturity,ImpliedVol,VegaRef,OptionType,logMoneyness,impliedTotalVariance,Bid,Ask,ImpVolAsk,ImpVolBid,ImpVolCalibrated,locvol,logMaturity
1000.0,0.17,0.05,-0.000210777622917899,0.9384019224585597,0.0008133406176300663,-3.25791944722174e-06,1.239901178033465,999.2998242378235,0.9966158866882324,1000.0,0.17,0.7566,7.128951080277738e-21,-1.0,-1.0513576966625457,0.09731540520000002,0.0,0.1,0.7960307609289885,0.2,0.7559933096170424,1.0,-1.7719568419318752
1000.0,0.37,0.175,-0.0006154163176225674,3.745700753602604,0.0024350910805809606,-7.10472518047183e-06,2.15752814784992,998.376190662384,0.9928684830665588,1000.0,0.37,0.5654,1.6362600960736854e-08,-1.0,-1.0522824048077764,0.1182805492,0.1,0.25,0.5826693461276592,0.5401931130327284,0.5651241611689328,1.0,-0.9942522733438669
1100.0,0.17,0.05,-0.00022384819783808022,0.9926180271718392,0.0007801889592348949,-3.1293325764846056e-06,1.2584035263933835,1099.2298066616058,0.9966158866882324,1100.0,0.17,0.6884,6.080350793074383e-17,-1.0,-0.956047516858221,0.08056207520000001,0.0,0.1,0.7264278996735811,0.2,0.6897013235837222,1.0,-1.7719568419318752
1100.0,0.285,0.125,-0.0005024267371421863,2.725195258177814,0.0017827743432439185,-5.676132557661614e-06,2.010857457126086,1098.7372815608978,0.9943616986274719,1100.0,0.285,0.5712,2.6476678228881946e-09,-1.0,-0.9564956810837827,0.0929867904,0.05,0.2,0.5941436347085984,0.5330031994730237,0.571412802208215,1.0,-1.2552660987134867
1100.0,0.37,0.25,-0.0009120592441279053,5.381919126936798,0.0032892650590413703,-8.561382541527851e-06,3.1036383317550786,1098.2138097286224,0.9928684830665588,1100.0,0.37,0.5323,1.0784134601280079e-06,-1.0,-0.9569722250034516,0.10483701729999999,0.15,0.35,0.5484526412561537,0.5093055567704142,0.5319965056609361,1.0,-0.9942522733438669
1150.0,2.585,7.05,-0.013593132164542528,159.95065158483405,0.051592212056567464,-2.2173754294867024e-05,13.478773395171359,1141.0950690507889,0.9524220824241638,1150.0,2.585,0.2891,83.34275908679012,-1.0,-0.9186688874381227,0.21605122385000003,6.0,8.1,0.29552232463029204,0.28164630124374523,0.28890595029952226,1.0,0.9497255079603925
1200.0,0.17,0.05,-0.00024588709157398844,1.0834986523654693,0.0007816244611057624,-3.1339135648244945e-06,1.3252207725392466,1199.1597890853882,0.9966158866882324,1200.0,0.17,0.6281,1.1177435795694518e-13,-1.0,-0.8690361398685913,0.0670666337,0.0,0.1,0.6629176636226476,0.2,0.6292059767991305,1.0,-1.7719568419318752
1200.0,0.203,0.075,-0.0003540106913232949,1.6622364139203678,0.0011344693010123682,-4.11540722077643e-06,1.7009185070459498,1198.5803604125977,0.9963175654411316,1200.0,0.203,0.5933,3.8139322192273597e-11,-1.0,-0.8695194521943168,0.07145699267000002,0.0,0.15,0.6271790331229568,0.2,0.5936531848274171,1.0,-1.5945492999403497
1200.0,0.285,0.2,-0.0008337018114575026,4.348981474700218,0.002727815354268248,-7.560152696199442e-06,3.2494298266400534,1198.622488975525,0.9943616986274719,1200.0,0.285,0.5431,2.3912902649066073e-07,-1.0,-0.869484304094153,0.08406291885,0.1,0.3,0.5622890857281165,0.5123340020887558,0.5424195891711863,1.0,-1.2552660987134867
1200.0,2.585,8.15,-0.01577760276736884,181.83260735846306,0.05761319362948312,-2.0691663846385207e-05,15.443371382748495,1190.7078981399536,0.9524220824241638,1200.0,2.585,0.2835,107.83867137728109,-1.0,-0.8761092730193267,0.20776226624999997,6.8,9.5,0.29071431162155936,0.27499825803970446,0.28325450339907554,1.0,0.9497255079603925
1225.0,0.342,0.325,-0.0012657929051714046,6.987968135430837,0.00409684727047061,-9.81180143455478e-06,4.3635692259586065,1223.3051598072052,0.9932748079299927,1225.0,0.342,0.5056,2.062363161427678e-05,-1.0,-0.8491009326600191,0.08742592512000001,0.2,0.45,0.5214722307864577,0.4841442011762412,0.5056249306537212,1.0,-1.0729445419195318
1250.0,0.112,0.05,-0.00025381443715734124,0.9058610332729838,0.0007729941640350502,-3.1220549555874253e-06,1.8060189982025925,1249.9754130840302,0.9973173141479492,1250.0,0.112,0.7374,1.4393776955618104e-19,-1.0,-0.8275333940748547,0.06090098112000002,0.0,0.1,0.7793568865396082,0.2,0.7395995324477556,1.0,-2.1892564076870427
1250.0,1.588,4.25,-0.010162182346911476,97.39776218144434,0.034717000650976756,-2.3380019987021298e-05,13.280623488469587,1242.508664727211,0.9709065556526184,1250.0,1.588,0.3114,28.26076271141458,-1.0,-0.8335248230749998,0.15398829648,3.5,5.0,0.3186454309587134,0.30261818702856547,0.31109475559787825,1.0,0.462475362824944
1300.0,0.112,0.05,-0.000266823083568943,0.9490583671728021,0.0007796833867994481,-3.1594668521203274e-06,1.8571022591333222,1299.9744296073914,0.9973173141479492,1300.0,0.112,0.7041,1.3571823933554115e-17,-1.0,-0.7883126809215734,0.055524762719999995,0.0,0.1,0.744078742712736,0.2,0.705994246341288,1.0,-2.1892564076870427
1325.0,0.621,1.175,-0.003981782688129287,26.587392975623075,0.012271206455924884,-1.7806516894822218e-05,9.137405809351755,1321.0917860269547,0.988506019115448,1325.0,0.621,0.3921,0.28044547320664587,-1.0,-0.7721987703055796,0.09547403661,1.05,1.3,0.3964654597395566,0.38689421988092365,0.39186185391154127,1.0,-0.4764241970486583
