Strike,Maturity,Price,Delta,Vega,Delta Strike,Gamma Strike,Theta,ChangedStrike,DividendFactor,Strike,Maturity,ImpliedVol,VegaRef,OptionType,logMoneyness,impliedTotalVariance,Bid,Ask,ImpVolAsk,ImpVolBid,ImpVolCalibrated,locvol,logMaturity
1000.0,0.203,0.05,-0.00020417003885046618,0.9953906898804933,0.0007870500530702787,-3.1771296323720588e-06,1.054844699669184,998.816967010498,0.9963175654411316,1000.0,0.203,0.6909,3.517921503397676e-17,-1.0,-1.0518410089882715,0.09690059043,0.0,0.1,0.7288010880351066,0.2,0.6921445913612845,1.0,-1.5945492999403497
1000.0,0.246,0.1,-0.0003725881409496093,1.9188764066043136,0.001456007654413787,-4.978274353200686e-06,1.7134450043702802,999.2280602455139,0.9948976635932922,1000.0,0.246,0.6607,8.12923497613813e-14,-1.0,-1.0514295135162386,0.10738502453999998,0.05,0.15,0.6836330092512074,0.628574926778674,0.6618714068084954,1.0,-1.4024237430497744
1100.0,0.203,0.05,-0.00022775766471354246,1.1023591877762349,0.000793920543333425,-3.16815583479857e-06,1.1283159499571749,1098.6986637115479,0.9963175654411316,1100.0,0.203,0.6312,6.968135986754125e-14,-1.0,-0.9565308291839465,0.08087792832,0.0,0.1,0.6651046790182591,0.2,0.6314782436937095,1.0,-1.5945492999403497
1100.0,0.246,0.075,-0.00031802236024807556,1.6562513132445467,0.0011157083517452408,-4.069042795455693e-06,1.3916929654355705,1099.1508662700653,0.9948976635932922,1100.0,0.246,0.5896,4.296498878257841e-11,-1.0,-0.9561193337119138,0.08551652736,0.0,0.15,0.6239753234665841,0.2,0.5908148494549095,1.0,-1.4024237430497744
1200.0,0.246,0.125,-0.0005560600481822839,2.780968146866004,0.001799729049300593,-5.707839514192995e-06,2.3712308041671655,1199.0736722946167,0.9948976635932922,1200.0,0.246,0.5614,7.852790588887543e-09,-1.0,-0.869107956722284,0.07753181016,0.05,0.2,0.5835672616958619,0.5231645232066513,0.5611003682017326,1.0,-1.4024237430497744
1225.0,1.588,3.95,-0.009407074213309503,91.04534382002345,0.032742931816123075,-2.339635984314682e-05,12.375108645406662,1217.6584914326668,0.9709065556526184,1225.0,1.588,0.315,23.562342019149924,-1.0,-0.8537275303925193,0.15756930000000002,3.2,4.7,0.32274650845210995,0.3055848021118437,0.3147035819652956,1.0,0.462475362824944
1250.0,0.342,0.35,-0.0013794313419896534,7.559269506594538,0.0043779676720481575,-1.0230701537596558e-05,4.719591939469396,1248.270571231842,0.9932748079299927,1250.0,0.342,0.49770000000000003,4.604063440342799e-05,-1.0,-0.8288982253424996,0.08471520918000001,0.2,0.5,0.5150325954193252,0.4731798872817307,0.49764125128276654,1.0,-1.0729445419195318
1275.0,0.342,0.375,-0.0014912551812299789,8.116778260528475,0.004641802175745023,-1.061625203316333e-05,5.062694788106093,1273.2359826564789,0.9932748079299927,1275.0,0.342,0.4895,9.930303541540609e-05,-1.0,-0.8090955980463199,0.08194670550000001,0.25,0.5,0.5034170571016148,0.4716101110447199,0.48956333543173985,1.0,-1.0729445419195318
1275.0,0.621,1.025,-0.0034160408434268054,23.17248313509242,0.010924841935403596,-1.685100245405018e-05,7.9527665261040426,1271.2392657995224,0.988506019115448,1275.0,0.621,0.4041,0.12555878675650134,-1.0,-0.8106650511333756,0.10140731901000001,0.9,1.15,0.4090485713270028,0.3980450164526701,0.4037890741368755,1.0,-0.4764241970486583
1275.0,1.588,4.55,-0.010922147499134645,103.71424039438925,0.03662803175888624,-2.3306327225118648e-05,14.177214969096482,1267.3588380217552,0.9709065556526184,1275.0,1.588,0.3076,33.639711552442904,-1.0,-0.8137221957788201,0.15025300288,3.6,5.5,0.31624957613676097,0.29715648899727964,0.307352587832429,1.0,0.462475362824944
1300.0,0.131,0.05,-0.0002703914957235877,1.039190907473364,0.0007901131277151475,-3.1897673406275795e-06,1.682645209668019,1299.7653722763062,0.9970242381095886,1300.0,0.131,0.6519,9.032975548262619e-15,-1.0,-0.7884735103487217,0.05567154291000001,0.0,0.1,0.6881558263674379,0.2,0.6529329067096115,1.0,-2.0325579557809856
1300.0,0.151,0.075,-0.00039838476664227657,1.5997778432166923,0.0011739644712856273,-4.257698019346289e-06,2.2670543769153895,1299.4852602481842,0.9967629313468933,1300.0,0.151,0.628,1.4542383472586596e-12,-1.0,-0.7886890432609398,0.059551984,0.0,0.15,0.6626292767003181,0.2,0.6269686297513545,1.0,-1.8904754421672127
1300.0,0.246,0.2,-0.0009085429024267302,4.372826132498547,0.0027299904416353948,-7.615552838787733e-06,3.7705956893799915,1298.996478319168,0.9948976635932922,1300.0,0.246,0.5327,6.122494654572199e-07,-1.0,-0.7890652490487475,0.06980724533999999,0.1,0.3,0.5519996367860587,0.502618928719312,0.5323499302845449,1.0,-1.4024237430497744
1300.0,0.419,0.625,-0.0023372560977566025,13.516455480402234,0.007226441346900744,-1.3703284225306953e-05,6.936639712386082,1297.2837269306183,0.9922080039978027,1300.0,0.419,0.4554,0.0032746954725601973,-1.0,-0.7903846379448674,0.08689605804,0.5,0.75,0.4638433559564874,0.4449446830665693,0.4550974124809728,1.0,-0.8698843590599994
1300.0,1.588,4.95,-0.011890620282706526,111.65943658958243,0.039198960705126545,-2.315541855934966e-05,15.336853997213652,1292.2090113162994,0.9709065556526184,1300.0,1.588,0.3047,39.75438088609501,-1.0,-0.7943041099217185,0.14743323892000004,4.2,5.7,0.31106586189416696,0.29711799494980373,0.30443164156167757,1.0,0.462475362824944
